x,y,raw_value,filtered_value
0,0,0.65695,0.956661
0.555556,0,1.1918,0.948761
1.11111,0,0.648997,0.980079
1.66667,0,1.12176,0.956716
2.22222,0,1.10721,1.00673
2.77778,0,1.09318,1.02914
3.33333,0,0.760485,1.01173
3.88889,0,1.14265,1.02989
4.44444,0,1.09993,1.02726
5,0,0.968263,1.04034
0,0.555556,0.922891,0.974322
0.555556,0.555556,1.055,0.979174
1.11111,0.555556,1.21693,1.00693
1.66667,0.555556,0.645984,0.978676
2.22222,0.555556,0.999416,1.02512
2.77778,0.555556,1.07282,1.0409
3.33333,0.555556,1.1417,1.0331
3.88889,0.555556,0.859522,1.04163
4.44444,0.555556,1.17505,1.02275
5,0.555556,0.918121,1.03507
0,1.11111,0.947313,0.991094
0.555556,1.11111,1.07198,1.03616
1.11111,1.11111,1.10071,1.03714
1.66667,1.11111,1.00917,1.02284
2.22222,1.11111,0.957905,0.972456
2.77778,1.11111,1.2186,0.987609
3.33333,1.11111,1.01682,0.927198
3.88889,1.11111,0.992093,0.947488
4.44444,1.11111,1.18647,0.915367
5,1.11111,0.862617,0.969206
0,1.66667,0.980972,1.00491
0.555556,1.66667,0.968412,1.06149
1.11111,1.66667,1.06122,1.0431
1.66667,1.66667,1.20482,1.06834
2.22222,1.66667,1.00944,0.950843
2.77778,1.66667,0.633938,0.936784
3.33333,1.66667,0.837836,0.8897
3.88889,1.66667,0.57145,0.925816
4.44444,1.66667,0.746456,0.919859
5,1.66667,0.926525,0.936543
0,2.22222,1.24513,1.06793
0.555556,2.22222,0.815678,1.08107
1.11111,2.22222,1.36201,1.01996
1.66667,2.22222,0.793943,1.10088
2.22222,2.22222,1.11588,0.950813
2.77778,2.22222,0.613878,0.950284
3.33333,2.22222,1.02675,0.916782
3.88889,2.22222,1.09593,1.00555
4.44444,2.22222,0.858539,0.981514
5,2.22222,1.03865,0.945491
0,2.77778,1.44753,1.0503
0.555556,2.77778,0.949842,1.05295
1.11111,2.77778,0.898835,0.922825
1.66667,2.77778,1.12488,1.01159
2.22222,2.77778,1.33687,0.904583
2.77778,2.77778,0.723657,0.998961
3.33333,2.77778,1.25429,1.00241
3.88889,2.77778,1.4933,1.07626
4.44444,2.77778,1.16537,1.031
5,2.77778,0.937404,0.967665
0,3.33333,0.966118,1.06411
0.555556,3.33333,0.877529,1.03852
1.11111,3.33333,0.913841,0.984661
1.66667,3.33333,0.568866,1.01062
2.22222,3.33333,0.989138,0.985183
2.77778,3.33333,0.874127,1.02167
3.33333,3.33333,1.05605,1.03926
3.88889,3.33333,0.883737,1.07863
4.44444,3.33333,0.852375,1.05731
5,3.33333,0.95365,1.03325
0,3.88889,1.04676,0.950678
0.555556,3.88889,1.0969,0.992579
1.11111,3.88889,1.14936,1.00104
1.66667,3.88889,1.28189,0.989978
2.22222,3.88889,0.831867,0.999298
2.77778,3.88889,1.13535,0.982659
3.33333,3.88889,0.993651,1.01584
3.88889,3.88889,0.939217,0.936822
4.44444,3.88889,1.06971,0.959691
5,3.88889,1.221,0.953832
0,4.44444,0.975992,1.05391
0.555556,4.44444,0.74077,1.06412
1.11111,4.44444,1.16594,1.07395
1.66667,4.44444,1.21426,1.07826
2.22222,4.44444,0.79464,1.09696
2.77778,4.44444,1.30355,1.02283
3.33333,4.44444,0.865568,1.04811
3.88889,4.44444,1.09128,0.98301
4.44444,4.44444,0.679807,1.02399
5,4.44444,0.946449,1.00903
0,5,1.40529,1.04495
0.555556,5,1.05777,1.04735
1.11111,5,0.938345,1.0229
1.66667,5,1.02031,1.07353
2.22222,5,1.30769,1.10392
2.77778,5,0.983093,1.04077
3.33333,5,0.990058,1.06079
3.88889,5,1.1312,0.974086
4.44444,5,1.0866,0.997658
5,5,1.05061,0.940867
